time,msl_hPa,u10,v10,wind_speed,eta_IB,eta_wind,eta_inst,eta_met,eta_IB_cm,eta_wind_cm,eta_inst_cm,eta_met_cm,astro_m,astro_cm,fuente,total_m,total_cm,galibo_entrada_m,galibo_entrada_cm,galibo_salida_m,galibo_salida_cm,residuo_m,residuo_cm
2026-08-07 18:00:00,1016.014375,2.696044921875,1.8145904541015625,3.2498302627805793,-0.004759769062499748,0.00115245848064078,-0.003607310581858968,-0.01538690535191675,-0.4759769062499748,0.115245848064078,-0.3607310581858968,-1.538690535191675,-0.0736952082961874,-7.36952082961874,forecast,-0.08908211364810416,-8.908211364810416,1.5720821136481042,157.20821136481044,1.5630821136481041,156.3082113648104,-0.01538690535191675,-1.538690535191675
2026-08-07 19:00:00,1016.2750925925925,1.9674584565810416,1.6783079210388405,2.5860414258464557,-0.007172319305554702,0.0009858511172376,-0.006186468188317102,-0.014466861635556785,-0.7172319305554702,0.09858511172376001,-0.6186468188317102,-1.4466861635556785,-0.0791210456897463,-7.91210456897463,forecast,-0.09358790732530309,-9.35879073253031,1.5765879073253033,157.65879073253032,1.567587907325303,156.7587907325303,-0.014466861635556785,-1.4466861635556785
2026-08-07 20:00:00,1016.7592824074073,0.9409274772597049,1.5763179280758441,1.8357894018202727,-0.011652769756943827,0.0008696723736306627,-0.010783097383313164,-0.014098485210332422,-1.1652769756943828,0.08696723736306627,-1.0783097383313165,-1.4098485210332423,-0.0850665903805202,-8.50665903805202,forecast,-0.09916507559085262,-9.916507559085263,1.5821650755908527,158.21650755908527,1.5731650755908526,157.31650755908527,-0.014098485210332422,-1.4098485210332423
2026-08-07 21:00:00,1017.02,0.4201507568359375,1.53619384765625,1.5926136367765802,-0.014065319999999834,0.00082596203815192,-0.013239357961847914,-0.014012572485483972,-1.4065319999999835,0.08259620381519199,-1.3239357961847915,-1.4012572485483972,-0.0896502458307887,-8.96502458307887,forecast,-0.10366281831627268,-10.366281831627267,1.5866628183162728,158.6662818316273,1.5776628183162726,157.76628183162725,-0.014012572485483972,-1.4012572485483972
2026-08-07 22:00:00,1016.99303992304,0.4931399025936274,1.5479470712167245,1.6246005967063066,-0.013815844927850523,0.0008386490473509524,-0.012977195880499571,-0.013909034824985532,-1.3815844927850522,0.08386490473509524,-1.297719588049957,-1.3909034824985531,-0.0920214527913213,-9.20214527913213,forecast,-0.10593048761630683,-10.593048761630683,1.5889304876163068,158.8930487616307,1.5799304876163067,157.99304876163066,-0.013909034824985532,-1.3909034824985531
2026-08-07 23:00:00,1016.9238576238577,0.6342069834641644,1.5697744864004628,1.693047676832685,-0.013175666522366831,0.0008624671783538429,-0.012313199344012989,-0.013749451276888279,-1.3175666522366831,0.08624671783538429,-1.2313199344012988,-1.3749451276888278,-0.092421165920077,-9.2421165920077,forecast,-0.10617061719696527,-10.617061719696528,1.5891706171969653,158.91706171969653,1.5801706171969652,158.01706171969653,-0.013749451276888279,-1.3749451276888278
2026-08-08 00:00:00,1016.83,0.72650146484375,1.5815277099609375,1.7404120994162278,-0.01230715500000038,0.0008754304640810005,-0.011431724535919379,-0.01351767860279139,-1.230715500000038,0.08754304640810005,-1.1431724535919379,-1.351767860279139,-0.0919978661013085,-9.19978661013085,forecast,-0.10551554470409989,-10.55155447040999,1.5885155447041,158.85155447041,1.5795155447040998,157.95155447040997,-0.01351767860279139,-1.351767860279139
2026-08-08 01:00:00,1016.5976007094758,0.7524936820450948,1.3514109954890932,1.5467897142942884,-0.010156648165134702,0.0006392090875550876,-0.009517439077579614,-0.013117654650270212,-1.0156648165134703,0.06392090875550877,-0.9517439077579614,-1.3117654650270212,-0.0928337958628381,-9.28337958628381,forecast,-0.10595145051310831,-10.595145051310832,1.5889514505131084,158.89514505131083,1.5799514505131083,157.99514505131083,-0.013117654650270212,-1.3117654650270212
2026-08-08 02:00:00,1016.2711267436267,0.7704279865846134,0.861159054237735,1.1554887274259544,-0.007135621322149887,0.0002595582208434706,-0.006876063101306416,-0.012493495495373833,-0.7135621322149887,0.025955822084347057,-0.6876063101306417,-1.2493495495373832,-0.0971007481489367,-9.71007481489367,forecast,-0.10959424364431053,-10.959424364431053,1.5925942436443106,159.25942436443106,1.5835942436443105,158.35942436443105,-0.012493495495373833,-1.2493495495373832
2026-08-08 03:00:00,1016.105625,0.7771148681640625,0.410919189453125,0.8790688815914607,-0.005604150937500296,5.909910309128463e-05,-0.005545051834409011,-0.011798651129277351,-0.5604150937500296,0.005909910309128463,-0.5545051834409012,-1.179865112927735,-0.10537816502731,-10.537816502731,forecast,-0.11717681615658734,-11.717681615658734,1.6001768161565875,160.01768161565874,1.5911768161565873,159.11768161565874,-0.011798651129277351,-1.179865112927735
2026-08-08 04:00:00,1016.1160471388952,0.4567475495515046,0.04159498764594562,0.4586376205879436,-0.005700592199766448,6.055500490432292e-07,-0.005699986649717405,-0.011188784681321357,-0.5700592199766448,6.055500490432292e-05,-0.5699986649717405,-1.1188784681321358,-0.116393981295321,-11.6393981295321,forecast,-0.12758276597664236,-12.758276597664237,1.6105827659766425,161.05827659766425,1.6015827659766424,160.15827659766424,-0.011188784681321357,-1.1188784681321358
2026-08-08 05:00:00,1016.1450803889013,-0.13822032787181726,-0.2983850080758987,0.32884414557879355,-0.005969251378698235,-3.1161764565558944e-05,-0.0060004131432637945,-0.010669947527515601,-0.5969251378698235,-0.0031161764565558942,-0.6000413143263794,-1.0669947527515602,-0.128788697480647,-12.8788697480647,forecast,-0.1394586450081626,-13.94586450081626,1.6224586450081626,162.24586450081625,1.6134586450081625,161.34586450081625,-0.010669947527515601,-1.0669947527515602
2026-08-08 06:00:00,1016.189375,-0.458587646484375,-0.4475860595703125,0.6408087938143151,-0.006379131562500379,-7.011664825258776e-05,-0.0064492482107529675,-0.010247877595839337,-0.637913156250038,-0.007011664825258776,-0.6449248210752967,-1.0247877595839336,-0.141692950838341,-14.169295083834099,forecast,-0.15194082843418033,-15.194082843418034,1.6349408284341804,163.49408284341806,1.6259408284341803,162.59408284341802,-0.010247877595839337,-1.0247877595839336
2026-08-08 07:00:00,1016.4315168333209,-0.12040441886399762,-0.009464640120346493,0.1207758398628826,-0.008619791017134676,-3.135279441268537e-08,-0.008619822369929088,-0.010085072073248312,-0.8619791017134676,-3.1352794412685367e-06,-0.8619822369929089,-1.0085072073248313,-0.153174047263859,-15.3174047263859,forecast,-0.16325911933710732,-16.32591193371073,1.6462591193371074,164.62591193371074,1.6372591193371073,163.72591193371073,-0.010085072073248312,-1.0085072073248313
2026-08-08 08:00:00,1016.8279806388827,0.5570088163518659,0.9108684221247584,1.0676797759242955,-0.012288468841900603,0.0002903884488484165,-0.011998080393052188,-0.0102763729052287,-1.2288468841900604,0.02903884488484165,-1.1998080393052188,-1.02763729052287,-0.160005681827634,-16.0005681827634,forecast,-0.1702820547328627,-17.02820547328627,1.6532820547328628,165.3282054732863,1.6442820547328627,164.42820547328628,-0.0102763729052287,-1.02763729052287
2026-08-08 09:00:00,1017.03625,1.0679473876953125,1.7223663330078125,2.0265876265200133,-0.01421568937499996,0.0010382910247775726,-0.013177398350222387,-0.01056647544972807,-1.421568937499996,0.10382910247775726,-1.3177398350222387,-1.056647544972807,-0.159351078830312,-15.935107883031199,forecast,-0.16991755428004007,-16.99175542800401,1.65291755428004,165.291755428004,1.6439175542800402,164.39175542800402,-0.01056647544972807,-1.056647544972807
2026-08-08 10:00:00,1017.0272425620312,1.318317269621803,2.2547295456848864,2.6118510194051,-0.01413233904775602,0.0017793318634645309,-0.01235300718429149,-0.01074512862318441,-1.413233904775602,0.17793318634645308,-1.235300718429149,-1.074512862318441,-0.149815815583558,-14.9815815583558,forecast,-0.1605609442067424,-16.056094420674242,1.6435609442067425,164.35609442067425,1.6345609442067424,163.45609442067425,-0.01074512862318441,-1.074512862318441
2026-08-08 11:00:00,1017.001429568507,1.511817224491891,2.718339340930608,3.110459787992993,-0.013893478512179326,0.0025862790703578683,-0.011307199441821458,-0.010801335705048116,-1.3893478512179325,0.2586279070357868,-1.1307199441821458,-1.0801335705048116,-0.132101362460166,-13.2101362460166,forecast,-0.14290269816521411,-14.29026981652141,1.6259026981652143,162.5902698165214,1.6169026981652141,161.6902698165214,-0.010801335705048116,-1.0801335705048116
2026-08-08 12:00:00,1016.960625,1.5894317626953125,3.093170166015625,3.4776421616080424,-0.013515893437500464,0.003348695586575195,-0.010167197850925269,-0.010737921919635832,-1.3515893437500464,0.3348695586575195,-1.016719785092527,-1.073792191963583,-0.1095917788293,-10.95917788293,forecast,-0.12032970074893584,-12.032970074893584,1.603329700748936,160.3329700748936,1.5943297007489359,159.43297007489357,-0.010737921919635832,-1.073792191963583
